ppm_group	neutral_mass	intensity	is_precursor_deisotoped
0	212.0089906366209	209839.5390625	false
1	228.49991126149615	1073123.48046875	false
2	273.9648689065163	458930.0908203125	false
3	288.0151284331134	70061.4482421875	false
4	305.0417955460358	78252.47583007812	false
5	306.0258350679837	735450.8791503906	false
6	311.0424310184133	149828.8699951172	false
7	324.03637362886866	212651.91528320312	false
8	327.03741133127386	93722.38696289062	false
9	329.05305674833966	815492.1204833984	false
10	345.0474664610024	652991.2172851562	false
11	347.06310128496403	366661.3095703125	false
12	363.0580253925544	253601.97924804688	false
13	385.00750198900374	15569.4404296875	false
14	385.9918193838429	538659.7928466797	false
15	391.007923458479	21261.505859375	false
16	404.0023925020991	81426.79736328125	false
17	407.0029196167123	15350.636962890625	false
18	409.01903714397963	495059.2985839844	false
19	420.0572613847496	82409.009765625	false
20	425.0140606149991	439955.96875	false
21	427.02910433785513	33617.03723144531	false
22	431.17319831020444	27766.01123046875	false
23	437.13896912336315	925093.7258300781	false
24	443.0244617816415	43902.63037109375	false
25	443.0847735639959	185706.15600585938	false
26	454.5211186742567	27541.08203125	false
27	455.149527795589	2022082.4602050781	false
28	457.14504158687004	46136.48486328125	false
29	457.1547871487148	33853.66748046875	false
30	459.0794146869628	137199.783203125	false
31	475.16355455895706	110775.74487304688	false
32	482.013221212214	44807.6748046875	false
33	493.12958252199786	47003.84814453125	false
34	500.023924285026	349721.294921875	false
35	505.0401239846511	39097.30224609375	false
36	511.13975253933165	22325.73876953125	false
37	521.0352718434768	21167.04345703125	false
38	523.0512997916934	314169.9072265625	false
39	525.9726111026777	15935.715576171875	false
40	537.1194827804968	166887.80419921875	false
41	539.0456621451488	214766.31640625	false
42	555.1122004199916	23003.5087890625	false
43	555.1301369603954	499514.14306640625	false
44	561.9793865722971	18237.86669921875	false
45	569.1809802170616	32146.6982421875	false
46	570.1232182293937	51802.09228515625	false
47	571.1068027645617	24532.708984375	false
48	573.1229724846982	100630.43383789062	false
49	579.9906026487663	112767.7060546875	false
50	585.0065355605801	19261.69580078125	false
51	589.1182235235839	44326.74267578125	false
52	594.1346933722666	55344.66552734375	false
53	596.1503056736217	84392.12646484375	false
54	603.0176923845377	51532.315673828125	false
55	609.9375789668201	96536.94921875	false
56	611.0675747114586	101367.45068359375	false
57	612.0519807131591	113598.28979492188	false
58	612.1450902138662	79495.26123046875	false
59	617.0682267961796	141221.73754882812	false
60	619.012669761189	51436.70947265625	false
61	627.0452689826845	23208.009765625	false
62	628.139374280519	19170.16552734375	false
63	632.0788925779487	14807.5234375	false
64	633.0624491090945	42007.052734375	false
65	635.0789225922132	973411.9401855469	false
66	639.8923403826977	53259.80747774124	false
67	649.1473648723111	53072.029052734375	false
68	651.07352566761	386394.2883300781	false
69	651.1516797077735	375375.35498046875	false
70	653.0903505012276	391042.9064941406	false
71	656.0901731678878	81996.10327148438	false
72	658.1062602836074	277519.71435546875	false
73	669.0852199399278	51758.40234375	false
74	674.1011674685767	513540.90380859375	false
75	676.1185852654952	39686.04541015625	false
76	684.114380701838	16383.1572265625	false
77	686.2259562989328	50429.22509765625	false
78	690.0966155487524	151095.4697265625	false
79	691.0341269363195	102374.8828125	false
80	692.0180047601691	199225.54833984375	false
81	692.1107249940505	16397.9931640625	false
82	694.0214484138937	18703.306640625	false
83	697.0347174424227	81566.20922851562	false
84	704.2364971587153	1652227.7731933594	false
85	708.1063567596434	29074.1640625	false
86	710.0281236943124	15744.81591796875	false
87	713.0287106000109	23605.93017578125	false
88	715.0455049617507	752920.8225097656	false
89	717.0510482453324	15509.70361328125	false
90	726.0824556712638	16010.310302734375	false
91	731.040374525459	149909.76684570312	false
92	731.1000901830829	46402.997802734375	false
93	731.1183557325796	242931.4228515625	false
94	732.119787489907	19490.517333984375	false
95	733.0572165967443	142292.11889648438	false
96	736.0571587591772	97409.22338867188	false
97	738.0725771166775	49657.9716796875	false
98	749.1110998398494	318828.2060546875	false
99	754.0678724476558	255427.59765625	false
100	765.1071504286377	45587.943359375	false
101	766.1922566226696	195548.11450195312	false
102	767.6194410010244	54687.22216796875	false
103	770.0613024517579	29102.20068359375	false
104	784.2028883679211	1566217.6984863281	false
105	786.2073952003601	418026.0031738281	false
106	788.1357733218591	145697.54296875	false
107	792.3429507413321	14515.689697265625	false
108	799.6051653582057	27260.05126953125	false
109	804.1285870096074	39785.974609375	false
110	804.2169899464297	297699.1953125	false
111	806.0486691218289	34201.801025390625	false
112	809.2371547181085	31050.544577403707	false
113	811.0663868819111	109918.64086914062	false
114	811.7943683704859	152684.56173336925	false
115	814.7609797301893	19646.90087890625	false
116	826.8005554481415	477333.6614947368	false
117	826.9103206243353	128124.15430347928	false
118	829.0775042466287	701487.6262207031	false
119	830.6237658607807	36311.95581641719	false
120	836.6154603094284	16422.979736328125	false
121	845.0722944320753	87478.94775390625	false
122	850.0900833454034	49845.02978515625	false
123	866.1734498037418	1904624.3344726562	false
124	867.1367833112869	24757.861560527876	false
125	868.0997766050032	171082.78125	false
126	879.2038165464297	20174.20458984375	false
127	884.164116910031	46749.587890625	false
128	884.1885758065687	873045.1071777344	false
129	894.3882660613419	48362.5625	false
130	896.3875131256171	50122.0830078125	false
131	898.2340917863578	24124.17919921875	false
132	900.1605216119684	128622.26123046875	false
133	902.1751928236197	15527.85205078125	false
134	909.0437524911545	154297.88989257812	false
135	911.27004075391	46702.57026931025	false
136	913.2693892144213	244669.7492246926	false
137	915.1714785516662	67502.7333984375	false
138	923.1874734313051	18613.17333984375	false
139	925.0386443455951	13013.108154296875	false
140	927.0228861530467	24232.369140625	false
141	927.2729753287621	40982.59049939226	false
142	930.150932137461	536907.2666203189	false
143	934.8008130682292	16738.78853167086	false
144	939.1815932894095	25586.82470703125	false
145	941.1030902665209	109402.27221679688	false
146	946.1216196527253	101832.3427734375	false
147	957.0977301829939	123195.97998046875	false
148	957.190368160202	18145.16162109375	false
149	957.3395575586788	18587.202886040475	false
150	962.1163384364728	150442.8994140625	false
151	964.1318254690806	810572.5576171875	false
152	978.202481046803	35697.84814453125	false
153	980.1274785427155	617695.4338378906	false
154	980.2044993894109	1773535.5747070312	false
